year_quarter_code,commercial_district_code,commercial_district_name,total_household,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
20214,3110568,광흥창역 1번,1,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75,816250000
20213,3110568,광흥창역 1번,2,32.0,49.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,26.0,41.0,58,349039474
20212,3110568,광흥창역 1번,2,32.0,49.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,26.0,41.0,58,349039474
20211,3110568,광흥창역 1번,2,32.0,49.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.0,26.0,41.0,58,349039474
20224,3110421,석계역 1번,32,144.0,5.0,0.0,0.0,0.0,49.0,83.0,17.0,0.0,0.0,0.0,0.0,49,139387158
20223,3110421,석계역 1번,32,144.0,5.0,0.0,0.0,0.0,49.0,83.0,17.0,0.0,0.0,0.0,0.0,49,139387158
20222,3110421,석계역 1번,32,144.0,5.0,0.0,0.0,0.0,49.0,83.0,17.0,0.0,0.0,0.0,0.0,49,139387158
20221,3110421,석계역 1번,32,144.0,5.0,0.0,0.0,0.0,49.0,83.0,17.0,0.0,0.0,0.0,0.0,49,139387158
20214,3110421,석계역 1번,32,144.0,5.0,0.0,0.0,0.0,49.0,83.0,17.0,0.0,0.0,0.0,0.0,49,139387158
20213,3110421,석계역 1번,33,159.0,5.0,0.0,0.0,0.0,96.0,67.0,1.0,0.0,0.0,0.0,0.0,48,103846137
20212,3110421,석계역 1번,33,159.0,5.0,0.0,0.0,0.0,96.0,67.0,1.0,0.0,0.0,0.0,0.0,48,103846137
20211,3110421,석계역 1번,33,159.0,5.0,0.0,0.0,0.0,96.0,67.0,1.0,0.0,0.0,0.0,0.0,48,103846137
20224,3110422,노원역 9번,9,70.0,19.0,0.0,0.0,0.0,4.0,59.0,3.0,6.0,17.0,0.0,0.0,56,202230253
20223,3110422,노원역 9번,9,70.0,19.0,0.0,0.0,0.0,4.0,59.0,3.0,6.0,17.0,0.0,0.0,56,202230253
20222,3110422,노원역 9번,9,70.0,19.0,0.0,0.0,0.0,4.0,59.0,3.0,6.0,17.0,0.0,0.0,56,202230253
20221,3110422,노원역 9번,9,70.0,19.0,0.0,0.0,0.0,4.0,59.0,3.0,6.0,17.0,0.0,0.0,56,202230253
20214,3110422,노원역 9번,9,70.0,19.0,0.0,0.0,0.0,4.0,59.0,3.0,6.0,17.0,0.0,0.0,56,202230253
20213,3110422,노원역 9번,9,102.0,144.0,0.0,0.0,0.0,19.0,58.0,27.0,142.0,0.0,0.0,0.0,57,169759680
20212,3110422,노원역 9번,9,102.0,144.0,0.0,0.0,0.0,19.0,58.0,27.0,142.0,0.0,0.0,0.0,57,169759680
