year_quarter_code,service_code,major_category_code,major_category_code_name,middle_category_code,middle_category_code_name,service_name,store_count,franchise_store_count
20213,CS300006,C03,도소매업,C0301,생활소매,미곡판매,3038,4
20213,CS300008,C03,도소매업,C0301,생활소매,수산물판매,5067,5
20213,CS300026,C03,도소매업,C0303,잡화소매,완구,997,14
20213,CS300031,C03,도소매업,C0303,잡화소매,가구,3441,3
20213,CS100009,C01,외식업,C0103,호프간이주점,호프-간이주점,8384,1274
20213,CS200009,C02,서비스업,C0202,의원,동물병원,894,12
20213,CS200032,C02,서비스업,C0204,기타 서비스,가전제품수리,2538,0
20213,CS200042,C02,서비스업,C0204,기타 서비스,통번역서비스,1273,4
20213,CS200046,C02,서비스업,C0204,기타 서비스,의류임대,533,2
20213,CS300001,C03,도소매업,C0301,생활소매,슈퍼마켓,12165,383
20213,CS300003,C03,도소매업,C0302,전자소매,컴퓨터및주변장치판매,10076,8
20213,CS300015,C03,도소매업,C0303,잡화소매,가방,3061,8
20213,CS300017,C03,도소매업,C0303,잡화소매,시계및귀금속,5357,67
20213,CS300027,C03,도소매업,C0303,잡화소매,섬유제품,3607,14
20213,CS100008,C01,외식업,C0101,음식(식사),분식전문점,11439,2649
20213,CS200005,C02,서비스업,C0201,학원,스포츠 강습,4910,185
20213,CS200015,C02,서비스업,C0204,기타 서비스,세무사사무소,5751,1
20213,CS200020,C02,서비스업,C0203,여가/미용,전자게임장,310,4
20213,CS200025,C02,서비스업,C0204,기타 서비스,자동차수리,3978,361
20213,CS200034,C02,서비스업,C0204,기타 서비스,여관,2598,17
20213,CS200037,C02,서비스업,C0203,여가/미용,노래방,5952,136
20213,CS200039,C02,서비스업,C0203,여가/미용,DVD방,187,0
20213,CS200040,C02,서비스업,C0204,기타 서비스,녹음실,860,3
20213,CS300002,C03,도소매업,C0301,생활소매,편의점,816,10485
20213,CS300014,C03,도소매업,C0303,잡화소매,신발,4308,48
20213,CS300020,C03,도소매업,C0303,잡화소매,서적,3869,59
20213,CS300024,C03,도소매업,C0303,잡화소매,운동/경기용품,3964,9
20213,CS300036,C03,도소매업,C0303,잡화소매,조명용품,9208,9
20214,CS100002,C01,외식업,C0101,음식(식사),중식음식점,5286,363
20214,CS100007,C01,외식업,C0101,음식(식사),치킨전문점,2342,3764
20214,CS200004,C02,서비스업,C0201,학원,컴퓨터학원,363,5
20214,CS200007,C02,서비스업,C0202,의원,치과의원,5005,2
20214,CS200011,C02,서비스업,C0204,기타 서비스,변리사사무소,784,3
20214,CS200012,C02,서비스업,C0204,기타 서비스,법무사사무소,2383,0
20214,CS200014,C02,서비스업,C0204,기타 서비스,회계사사무소,964,0
20214,CS200031,C02,서비스업,C0204,기타 서비스,세탁소,4294,987
20214,CS200045,C02,서비스업,C0204,기타 서비스,비디오/서적임대,205,50
