year_code,quarter_code,commercial_district_code,total_working_population_now,total_working_population_previous,working_population_diff
2022,1,3110028,704,704,0
2022,1,3110014,194,194,0
2022,1,3110286,986,986,0
2022,1,3110053,281,281,0
2022,1,3110040,165,165,0
2022,1,3110039,49,49,0
2022,1,3110059,385,385,0
2022,1,3110069,825,825,0
2022,1,3110095,1186,1186,0
2022,1,3110077,385,385,0
2022,1,3110103,13,13,0
2022,1,3110137,6605,6605,0
2022,1,3110138,160,160,0
2022,1,3110177,112,112,0
2022,1,3110175,367,367,0
2022,1,3110146,742,742,0
2022,1,3110150,1179,1179,0
2022,1,3110195,221,221,0
2022,1,3110189,1538,1538,0
2022,1,3110214,86,86,0
2022,1,3110224,96,96,0
2022,1,3110232,579,579,0
2022,1,3110201,27,27,0
2022,1,3110190,195,195,0
2022,1,3110215,28,28,0
2022,1,3110273,610,610,0
2022,1,3110260,126,126,0
2022,1,3110257,397,397,0
2022,1,3110238,66,66,0
2022,1,3110303,139,139,0
2022,1,3110305,883,883,0
2022,1,3110331,441,441,0
2022,1,3110334,170,170,0
2022,1,3110293,1730,1730,0
2022,1,3110283,203,203,0
2022,1,3110285,814,814,0
2022,1,3110312,150,150,0
2022,1,3110316,439,439,0
2022,1,3110322,319,319,0
2022,1,3110294,391,391,0
2022,1,3110319,454,454,0
2022,1,3110364,146,146,0
2022,1,3110381,171,171,0
2022,1,3110374,491,491,0
2022,1,3110371,49,49,0
2022,1,3110363,19,19,0
2022,1,3110361,101,101,0
2022,1,3110360,321,321,0
2022,1,3110357,725,725,0
2022,1,3110340,176,176,0
2022,1,3110341,496,496,0
2022,1,3110390,231,231,0
2022,1,3110408,355,355,0
2022,1,3110433,401,401,0
2022,1,3110423,280,280,0
2022,1,3110462,335,335,0
2022,1,3110481,199,199,0
2022,1,3110443,20,20,0
2022,1,3110459,547,547,0
2022,1,3110468,1202,1202,0
2022,1,3110478,355,355,0
2022,1,3110463,123,123,0
2022,1,3110507,1537,1537,0
2022,1,3110495,501,501,0
2022,1,3110528,324,324,0
2022,1,3110580,78,78,0
2022,1,3110568,67,67,0
2022,1,3110545,789,789,0
2022,1,3110584,49,49,0
2022,1,3110622,458,458,0
2022,1,3110601,1200,1200,0
2022,1,3110598,381,381,0
2022,1,3110609,1377,1377,0
2022,1,3110652,643,643,0
2022,1,3110675,235,235,0
2022,1,3110672,168,168,0
2022,1,3110660,4614,4614,0
2022,1,3110645,782,782,0
2022,1,3110630,1472,1472,0
2022,1,3110640,1019,1019,0
2022,1,3110655,589,589,0
2022,1,3110692,233,233,0
2022,1,3110695,537,537,0
2022,1,3110714,261,261,0
2022,1,3110708,71,71,0
2022,1,3110715,84,84,0
2022,1,3110713,2668,2668,0
