year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_sales_now,monthly_sales_previous
2022,4,3110727,독산역 1번 출입구,2039441613.0,2381432613.0
2022,4,3110728,두산초등학교,2369949465.0,2786851508.0
2022,4,3110729,가산동우체국,4549539814.0,3895299613.0
2022,4,3110730,서울축산농협 독산역지점(독산파출소),9594363429.0,15516210982.0
2022,4,3110731,금천구청역 1번 출입구,4894986992.0,3966034042.0
2022,4,3110732,가산초등학교(세일중학교),4127860923.0,4128926260.0
2022,4,3110733,금천어울림복지센터,634164309.0,400488477.0
2022,4,3110735,말미고개,4302913471.0,4333316346.0
2022,4,3110736,독산119안전센터,4275278506.0,3804246787.0
2022,4,3110737,금천세무서,1496064164.0,1352956109.0
2022,4,3110738,문성초등학교,9467214536.0,8524754880.0
2022,4,3110739,시흥3동 우편취급국,95574382.0,111219955.0
2022,4,3110740,금천해태공원,2235461223.0,1692297976.0
2022,4,3110741,독산2동주민센터,4877569577.0,4117547021.0
2022,4,3110742,KT금천빌딩(금천구시설관리공단),2948123102.0,1742731833.0
2022,4,3110743,시흥초등학교(시흥1동우체국),2935859652.0,2525864227.0
2022,4,3110744,독산동성당,7148669176.0,6482471682.0
2022,4,3110745,독산동정훈단지,6663679693.0,7769492346.0
2022,4,3110746,금천금빛공원(은행나무사거리서측),2185980570.0,2083530440.0
2022,4,3110747,석수역 1번 출입구,1803574372.0,1227415782.0
2022,4,3110748,백산초등학교,1977057539.0,1560423535.0
2022,4,3110749,금산초등학교(금천고등학교),5866336692.0,5774623417.0
2022,4,3110750,시흥4동주민센터(서울신흥초등학교),5052183268.0,5133444918.0
2022,4,3110751,난곡중학교,1394074076.0,1328637987.0
2022,4,3110752,한울중학교,7517389165.0,6948745568.0
2022,4,3110753,시흥동 은행나무사거리,11039503282.0,9476063248.0
2022,4,3110754,삼성산자연공원(서울금천초등학교),4660710551.0,1778008978.0
2022,4,3110755,동일여자고등학교,9488077829.0,3991724630.0
2022,4,3110756,문래중학교,667849403.0,726790488.0
2022,4,3110757,양평역 2번,9371796258.0,8369787469.0
2022,4,3110758,문래소공원,861475346.0,810266161.0
2022,4,3110760,선유도역 6번,5640822517.0,4390972492.0
2022,4,3110762,선유도역 1번,46027959421.0,42886490023.0
2022,4,3110765,문래동사거리,377544755.0,321482583.0
2022,4,3110766,대림역 5번,3018367412.0,2438624594.0
2022,4,3110768,도림2동유수지내체육시설,614272437.0,49495062.0
2022,4,3110769,대림차이나타운(대림역 12번),1386810769.0,1001801353.0
2022,4,3110770,영등포구청역 6번,1601041498.0,1323009369.0
2022,4,3110771,대림역 11번,69522655.0,26606722.0
2022,4,3110772,신우어린이공원,5010647938.0,1321158934.0
2022,4,3110774,당산반도유보라팰리스아파트,867009738.0,869747365.0
