기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20232,A,골목상권,3110644,신광명마을,CS100001,한식음식점,270913926,2556,239753656,31160270,53534205,37585061,69571623,32733491,46329276,23364188,7796082,0,12774214,160037201,42386496,51517491,4198524,58127769,15760566,0,879331,12790653,11775125,18276438,30166787,2214,342,531,384,386,389,524,260,82,0,120,1333,293,770,40,1761,332,0,65,221,277,576,952
20232,A,골목상권,3110645,우장산역 4번,CS100001,한식음식점,884666464,39829,610284774,274381690,127604543,122288215,114108233,122862612,123421171,149823593,124558097,49809732,44709877,293189134,119699741,284918262,92339718,491698192,344700902,7962061,49999235,116816218,218337742,252824976,190458861,28626,11203,5690,5713,5701,5897,5625,6177,5026,2010,2647,13526,6495,11881,3270,21988,16509,602,2597,5961,10463,10281,8597
20232,A,골목상권,3110645,우장산역 4번,CS100002,중식음식점,111920936,2676,79778999,32141937,8146110,11014058,7875884,22799182,29943765,17876529,14265408,16814734,864931,12977994,3267631,33998878,43996768,56887391,49026536,3104083,22701559,31784705,27534673,15113218,5675692,1888,788,238,286,224,452,688,413,375,296,40,554,170,871,745,1469,1105,152,439,540,655,520,266
20232,A,골목상권,3110645,우장산역 4번,CS100003,일식음식점,361787199,11540,236189460,125597739,44441627,47752810,44385908,43600935,56008180,53914030,71683709,0,1191911,132978847,45955326,166638951,15022164,165742424,171619042,4789969,19863831,38270557,106034888,98256048,70146173,7961,3579,1556,1544,1579,1504,1778,1550,2029,0,40,4244,1679,5181,396,5258,5794,304,688,1340,3556,3043,2121
20232,A,골목상권,3110645,우장산역 4번,CS100006,패스트푸드점,209178752,12124,142198184,66980568,32921819,22983632,26533791,28993773,30765169,32835728,34144840,0,7576774,56642297,37154508,93275008,14530165,92898842,90933503,2441713,16364630,43675702,57436907,39759173,24154218,9097,3027,1837,1650,1724,1813,2073,1888,1139,0,1029,3252,2281,5001,561,5430,6378,395,1443,2478,3684,2723,1087
20232,A,골목상권,3110645,우장산역 4번,CS100007,치킨전문점,56714750,2878,37992189,18722561,7123481,6997509,3782124,8243723,11845352,11855872,6866689,405349,0,4285118,3819066,33801071,14404146,36142571,17432377,788798,7133811,5334285,14614320,16970975,8732758,1922,956,337,355,205,395,630,558,398,17,0,132,229,1768,732,1876,922,67,448,543,669,721,351
20232,A,골목상권,3110645,우장산역 4번,CS100008,분식전문점,203769649,20081,174018388,29751261,30853867,34721867,36982046,32180107,39280501,20577993,9173268,227556,31830741,50110034,38901857,78390329,4309132,105836739,94463055,12672831,23274502,19296235,72586895,50971249,21498085,17260,2821,2304,3362,3748,3870,3976,1905,916,38,1707,5104,4634,8407,191,9431,10447,1858,2823,2136,6722,4137,2201
20232,A,골목상권,3110645,우장산역 4번,CS100009,호프-간이주점,47199794,266,39538711,7661083,5520438,2809003,14516978,7421466,9270826,6315637,1345446,9628669,0,0,2233852,10904821,24432452,37918233,6642023,0,513529,10069817,1422475,18420023,14134410,205,61,42,36,35,46,46,46,15,83,0,0,10,40,133,199,46,0,5,5,15,138,82
20232,A,골목상권,3110645,우장산역 4번,CS100010,커피-음료,856713788,95464,574933390,281780398,119762043,111037090,113113362,110351686,120669209,147331943,134448455,682596,165238143,230583392,185454380,193068679,81686598,265274176,586475530,28336232,222132751,227590339,216050274,115396830,42243279,67800,27664,14485,13128,13372,12606,14209,15273,12391,114,21484,22923,21060,21123,8760,30939,64149,3527,22871,26834,23410,13612,4837
20232,A,골목상권,3110646,푸른들청소년도서관,CS100001,한식음식점,2667253798,72641,1799271140,867982658,315883247,318174858,369469916,379992694,415750425,466728277,401254381,52895971,54841636,618130719,349307937,1174170106,417907429,1468181851,952270068,5555721,213250864,382489655,580115711,643458829,595581141,51421,21220,8899,10031,10782,10536,11173,10952,10268,1453,2366,23896,10088,27099,7739,42621,25106,264,6745,11442,14987,17162,17127
