기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20204,A,골목상권,3110502,남가좌파출소,1600488,727923,872564,208273,238707,259101,258367,232838,403204,436755,322276,180676,182734,265547,212499,223801,224159,223965,224906,225589,236239,241827
20204,A,골목상권,3110501,연희어린이공원,262207,120950,141258,22638,48806,55094,43139,35458,57072,51377,57454,36025,35981,49199,32170,36703,36882,36867,37173,37213,38403,38967
20204,A,골목상권,3110500,남가좌동현대아파트,219787,99287,120500,48925,19761,35471,39153,29342,47134,49970,41646,28621,29802,42472,27275,30597,30050,30363,30808,30990,33058,33920
20204,A,골목상권,3110499,연가초등학교,2122511,946393,1176119,365268,373061,299424,301603,291101,492055,620146,456426,234161,220113,314283,277382,299466,295943,296331,297713,295821,309426,327814
20204,A,골목상권,3110498,증산역 1번,1986886,908644,1078241,220278,267692,330509,322640,314058,531707,478487,385971,230466,241928,370850,279186,282965,281701,282109,280721,282321,287664,289404
20204,A,골목상권,3110497,가좌역 3번,170323,76241,94081,37293,21749,24829,28682,22771,34999,25767,35943,26411,27503,36016,18683,24370,24187,24162,24107,24219,24924,24354
20204,A,골목상권,3110496,모래내우체국,854498,386268,468229,136827,106067,122023,133584,129187,226810,196571,154380,101955,115374,173110,113105,117927,116757,117286,118687,120105,130672,133065
20204,A,골목상권,3110495,북가좌2동주민센터,1581715,721826,859889,221902,210053,229124,257805,227235,435597,446057,325279,169881,167391,255947,217161,222817,221277,220119,222983,223996,231488,239036
20204,A,골목상권,3110494,증산3교남측,107379,48592,58787,16060,13851,14399,18266,16753,28051,29449,23122,12212,12129,16998,13469,14679,14341,14422,14897,14894,16414,17732
20204,A,골목상권,3110493,북가좌초등학교,519255,237620,281636,99228,58886,67382,85112,77878,130769,121162,100650,62049,61936,101354,72102,73634,72446,72529,73233,74233,76598,76579
20204,A,골목상권,3110492,하나고등학교,29376,12880,16496,6985,2362,2707,4612,5890,6819,4504,6264,4998,5455,6289,1866,4101,4035,4052,4070,4047,4564,4508
20204,A,골목상권,3110491,불광중학교,114478,49599,64879,19765,10509,14893,18234,17831,33247,29875,23314,13282,12557,19511,15939,16054,15906,15873,16150,16402,16757,17336
20204,A,골목상권,3110490,녹번동근린공원,846902,368533,478369,122577,116669,137663,132091,115283,222618,286942,183188,80838,74073,107268,114592,119777,120102,119338,119698,119142,121117,127726
20204,A,골목상권,3110489,불광역 3번,446983,201448,245537,45976,69838,73205,60848,70912,126204,132539,95044,46735,45870,66847,59947,62579,62819,62679,62851,62255,65811,67990
20204,A,골목상권,3110488,우리은행응암동지점,452562,201974,250588,84263,53460,72516,73252,69348,99722,113412,93295,52441,51780,80709,60924,64932,63814,64065,64228,63897,65353,66273
20204,A,골목상권,3110487,불광역 8번,123676,54644,69033,12947,16723,18032,17773,20813,37386,19658,23489,18878,20647,26909,14096,17723,17483,17483,17345,17495,18337,17813
20204,A,골목상권,3110486,은평구청,414700,187789,226912,74687,52621,66088,68827,65804,86675,79515,78509,57168,61708,85455,52345,62339,61882,61542,61536,60610,55254,51537
20204,A,골목상권,3110485,연신내우체국,706655,315336,391319,109719,81854,92033,107939,113243,201868,208336,151564,78232,76844,102569,89112,97858,98478,98421,99889,99453,104044,108514
20204,A,골목상권,3110484,역촌역 3번,2062087,911038,1151049,251482,261979,319568,288567,327387,613106,620822,431514,216795,204275,303171,285510,292350,292339,293276,291691,292222,295642,304567
20204,A,골목상권,3110483,연천초등학교,621265,284040,337223,88480,80663,83649,87540,98624,182311,221165,129093,52778,48568,78016,91644,87828,87906,87932,88154,88549,88746,92150
20204,A,골목상권,3110482,연신초등학교,452338,206978,245359,68857,55186,59452,70030,74430,124384,130647,94938,47777,46830,70330,61815,63052,62905,62587,63736,63413,66118,70529
