기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
20232,A,골목상권,3110123,마장역 3번,13,1,,,,2,1,,,,,,,,,,,,1,3
20233,A,골목상권,3110123,마장역 3번,13,1,,,,2,1,,,,,,,,,,,,1,3
20231,A,골목상권,3110124,뚝섬역교차로,6,,1,,,,,,,,,,,,,,,,,2
20232,A,골목상권,3110124,뚝섬역교차로,6,,1,,,,,,,,,,,,,,,,,2
20233,A,골목상권,3110124,뚝섬역교차로,6,,1,,,,,,,,,,,,,,,,,2
20231,A,골목상권,3110125,사근동살곶이상점가,14,1,,,,2,,,,,,,,,,,,,,8
20232,A,골목상권,3110125,사근동살곶이상점가,14,1,,,,2,,,,,,,,,,,,,,8
20233,A,골목상권,3110125,사근동살곶이상점가,14,1,,,,2,,,,,,,,,,,,,,8
20231,A,골목상권,3110126,서울숲역 1번,3,1,,,,,,,,,,,,,,,,,,
20232,A,골목상권,3110126,서울숲역 1번,3,1,,,,,,,,,,,,,,,,,,
20233,A,골목상권,3110126,서울숲역 1번,3,1,,,,,,,,,,,,,,,,,,
20231,A,골목상권,3110127,성수1가1동주민센터,6,2,,,,,,,,,,,,,,,,,,3
20232,A,골목상권,3110127,성수1가1동주민센터,6,2,,,,,,,,,,,,,,,,,,3
20233,A,골목상권,3110127,성수1가1동주민센터,6,2,,,,,,,,,,,,,,,,,,3
20231,A,골목상권,3110128,성원중학교,41,2,1,,,6,,,,,,,,,,,,,,8
20232,A,골목상권,3110128,성원중학교,41,2,1,,,6,,,,,,,,,,,,,,8
20233,A,골목상권,3110128,성원중학교,41,2,1,,,6,,,,,,,,,,,,,,8
20231,A,골목상권,3110157,자양동우체국,15,1,1,,,1,,,,,,,,,,,,,,3
20232,A,골목상권,3110157,자양동우체국,15,1,1,,,1,,,,,,,,,,,,,,3
20233,A,골목상권,3110157,자양동우체국,15,1,1,,,1,,,,,,,,,,,,,,3
20231,A,골목상권,3110158,중곡3동주민센터,35,1,,,,3,,,,,,,,,,,,,,10
20232,A,골목상권,3110158,중곡3동주민센터,35,1,,,,3,,,,,,,,,,,,,,10
20233,A,골목상권,3110158,중곡3동주민센터,35,1,,,,3,,,,,,,,,,,,,,10
20231,A,골목상권,3110159,구의역 4번,34,2,,,,4,,,,,,,,,,,,,,3
20232,A,골목상권,3110159,구의역 4번,34,2,,,,4,,,,,,,,,,,,,,3
20233,A,골목상권,3110159,구의역 4번,34,2,,,,4,,,,,,,,,,,,,,3
20231,A,골목상권,3110160,광진경찰서,2,1,,,,,,,,,,,,,,,,,,
20232,A,골목상권,3110160,광진경찰서,2,1,,,,,,,,,,,,,,,,,,
20233,A,골목상권,3110160,광진경찰서,2,1,,,,,,,,,,,,,,,,,,
20231,A,골목상권,3110137,성수초등학교,18,1,5,,,1,,,,,,,,1,,,,,,5
