"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","월_평균_소득_금액","소득_구간_코드","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20221","A","골목상권","3111026","문정역 2번","3295197","07","10190324037","2416642558","1251273250","753437848","1201780747","1782960954","420780961","290618804","1644290357","428538558"
"20221","A","골목상권","3111027","문정초등학교","3538436","07","11623002495","2828793854","1418144219","845748328","1410504981","2043982915","432863319","337330042","1801822204","503812633"
"20221","A","골목상권","3111028","문현중학교(장지역 1번)","3662470","07","7560593262","1817795276","927657334","558356767","907285541","1311154457","314470845","215626199","1192366980","315879863"
"20221","A","골목상권","3111029","오금역 4번","3763867","08","6315447986","1548924151","772084638","438010150","754508665","1062821252","243412270","180598119","1045317072","269771669"
"20221","A","골목상권","3111030","방이역 2번","4146295","08","5716303961","1379883006","709330116","425120017","717543693","1025489032","228134954","161336947","817583142","251883054"
"20221","A","골목상권","3111031","장지동주민센터(한림연예예술고교)","3699928","07","8282430347","2025307742","1009215128","591757079","1007504306","1438515332","315670060","237398844","1302857923","354203933"
"20221","A","골목상권","3111032","방이역 1번","4221843","08","9352098605","2201492262","1157730491","686338635","1141669138","1702193194","362557905","260641379","1425065942","414409659"
"20221","A","골목상권","3111033","문정동성당","3802017","08","4502016202","1120737097","548495296","321038654","561270518","781223664","168060804","129891719","677093020","194205430"
"20221","A","골목상권","3111034","오동나무공원(송파레미니스1단지)","3084795","07","6616465656","1600626760","811864409","468719220","803414711","1143519393","261586621","186762002","1059439597","280532943"
"20221","A","골목상권","3111035","오금공원(오주중학교)","3029347","07","7449449790","1834584958","910070239","527053976","917988808","1271476842","290916584","211717646","1170309254","315331483"
"20221","A","골목상권","3111036","투구봉어린이공원","3705445","07","5649273062","1431321529","685852095","396795113","712909562","964829164","201849015","164032505","845686591","245997488"
"20221","A","골목상권","3111037","Sh수협은행 오금동금융센터(아랫말어린이공원)","2989490","07","4531736897","1121306350","553718588","319190419","559072477","765759988","179604402","129255521","714435989","189393163"
"20221","A","골목상권","3111038","보인중학교","3030407","07","7691604302","1917431153","939765564","543081205","954946675","1295376454","302413157","218609722","1194654106","325326266"
"20221","A","골목상권","3111039","벌말어린이공원","2736996","06","8461707750","2099404414","1037323311","602452543","1053336632","1441179572","338446809","241217107","1291618297","356729065"
"20221","A","골목상권","3111040","거여초등학교","2722781","06","6160980119","1532348261","754800771","440000883","768970132","1046080051","247689322","175967762","936462580","258660357"
"20221","A","골목상권","3111041","거여역 8번","2984266","07","2863290720","799565329","340154385","198682266","388717759","442294945","98194184","85944890","388418027","121318935"
