year_code,quarter_code,commercial_district_code,commercial_district_name,apartment_complexes,household_under_20_pyeong,household_20_to_30_pyeong,household_30_to_40_pyeong,household_40_to_50_pyeong,household_over_50_pyeong,household_less_than_100_million_price,household_100_million_to_200_million_price,household_200_million_to_300_million_price,household_300_million_to_400_million_price,household_400_million_to_500_million_price,household_500_million_to_600_million_price,household_over_than_600_million_price,apartment_avg_area,apartment_avg_price
2023,2,3110212,답십리초등학교,7,47.0,12.0,1.0,0.0,0.0,3.0,33.0,13.0,0.0,0.0,11.0,0.0,52,205683857
2023,3,3110212,답십리초등학교,7,47.0,12.0,1.0,0.0,0.0,3.0,33.0,13.0,0.0,0.0,11.0,0.0,52,205683857
2023,1,3110213,청량초등학교,8,62.0,10.0,6.0,0.0,0.0,27.0,41.0,5.0,5.0,0.0,0.0,0.0,58,172318263
2023,2,3110213,청량초등학교,8,62.0,10.0,6.0,0.0,0.0,27.0,41.0,5.0,5.0,0.0,0.0,0.0,58,172318263
2023,3,3110213,청량초등학교,8,62.0,10.0,6.0,0.0,0.0,27.0,41.0,5.0,5.0,0.0,0.0,0.0,58,172318263
2023,1,3110214,경희대후문,23,143.0,85.0,12.0,0.0,0.0,34.0,108.0,83.0,15.0,0.0,0.0,0.0,55,178861825
2023,2,3110214,경희대후문,23,143.0,85.0,12.0,0.0,0.0,34.0,108.0,83.0,15.0,0.0,0.0,0.0,55,178861825
2023,3,3110214,경희대후문,23,143.0,85.0,12.0,0.0,0.0,34.0,108.0,83.0,15.0,0.0,0.0,0.0,55,178861825
2023,1,3110215,회기역 1번,21,135.0,39.0,1.0,0.0,0.0,45.0,96.0,32.0,2.0,0.0,0.0,0.0,48,161161605
2023,2,3110215,회기역 1번,21,135.0,39.0,1.0,0.0,0.0,45.0,96.0,32.0,2.0,0.0,0.0,0.0,48,161161605
2023,3,3110215,회기역 1번,21,135.0,39.0,1.0,0.0,0.0,45.0,96.0,32.0,2.0,0.0,0.0,0.0,48,161161605
2023,1,3110216,전농중학교,10,85.0,4.0,0.0,0.0,0.0,4.0,43.0,42.0,0.0,0.0,0.0,0.0,44,179907826
2023,2,3110216,전농중학교,10,85.0,4.0,0.0,0.0,0.0,4.0,43.0,42.0,0.0,0.0,0.0,0.0,44,179907826
2023,3,3110216,전농중학교,10,85.0,4.0,0.0,0.0,0.0,4.0,43.0,42.0,0.0,0.0,0.0,0.0,44,179907826
2023,1,3110217,자동차부품상가,1,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,69,239571429
2023,2,3110217,자동차부품상가,1,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,69,239571429
2023,3,3110217,자동차부품상가,1,2.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,69,239571429
2023,1,3110218,답십리사거리,13,96.0,20.0,1.0,2.0,0.0,8.0,81.0,29.0,1.0,0.0,0.0,0.0,55,169505195
2023,2,3110218,답십리사거리,13,96.0,20.0,1.0,2.0,0.0,8.0,81.0,29.0,1.0,0.0,0.0,0.0,55,169505195
2023,3,3110218,답십리사거리,13,96.0,20.0,1.0,2.0,0.0,8.0,81.0,29.0,1.0,0.0,0.0,0.0,55,169505195
2023,1,3110219,삼육보건대학교,90,699.0,89.0,6.0,0.0,0.0,253.0,448.0,93.0,0.0,0.0,0.0,0.0,47,137418564
2023,2,3110219,삼육보건대학교,90,699.0,89.0,6.0,0.0,0.0,253.0,448.0,93.0,0.0,0.0,0.0,0.0,47,137418564
2023,3,3110219,삼육보건대학교,90,699.0,89.0,6.0,0.0,0.0,253.0,448.0,93.0,0.0,0.0,0.0,0.0,47,137418564
2023,1,3110220,외대앞역 1번,5,64.0,3.0,1.0,0.0,0.0,13.0,51.0,1.0,3.0,0.0,0.0,0.0,39,152479697
2023,2,3110220,외대앞역 1번,5,64.0,3.0,1.0,0.0,0.0,13.0,51.0,1.0,3.0,0.0,0.0,0.0,39,152479697
2023,3,3110220,외대앞역 1번,5,64.0,3.0,1.0,0.0,0.0,13.0,51.0,1.0,3.0,0.0,0.0,0.0,39,152479697
