year_code,quarter_code,commercial_district_code,commercial_district_name,monthly_average_income_amount,expenditure_total_amount
2023,1,3110351,수유북부시장옆,2224693.0,1502999349.0
2023,1,3110352,수유1동주민센터,2189177.0,2464493386.0
2023,1,3110353,수유동우체국,2333462.0,1146015364.0
2023,1,3110354,삼각산119안전센터,2149340.0,85006711.0
2023,1,3110355,삼양사거리역 2번,2098159.0,1242161918.0
2023,1,3110356,덕수교,2222714.0,1642141145.0
2023,1,3110357,가오리역 1번,2393561.0,509205185.0
2023,1,3110358,인수동 우편취급국,2318545.0,2051258165.0
2023,1,3110359,수유시장옆,2207523.0,3082552031.0
2023,1,3110360,수유초등학교,2228528.0,1912414594.0
2023,1,3110361,삼양사거리역 1번,2173601.0,1237340388.0
2023,1,3110362,우이천 계성교,2217869.0,2897915430.0
2023,1,3110363,송천동주민센터,2273144.0,255431586.0
2023,1,3110364,미아역 8번,2211506.0,2608503271.0
2023,1,3110365,미아역 5번,2269545.0,2349648986.0
2023,1,3110366,광산사거리,2224408.0,981951695.0
2023,1,3110367,강북구청,2011108.0,777193789.0
2023,1,3110368,송천초등학교,2132799.0,1203706392.0
2023,1,3110369,성신여대운정그린캠퍼스,2303927.0,2364080184.0
2023,1,3110370,도봉세무서,2222390.0,1473070753.0
2023,1,3110371,삼양입구사거리,2278814.0,618873152.0
2023,1,3110372,강북중학교,2232920.0,1490028427.0
2023,1,3110373,수유역 2번,2122729.0,1176789052.0
2023,1,3110374,송중초등학교,2328256.0,2474198854.0
2023,1,3110375,서울북부고용노동지청,2144109.0,1293756385.0
2023,1,3110376,수송초등학교,2210454.0,3082763407.0
2023,1,3110377,미아사거리역 3번,2210793.0,273348242.0
2023,1,3110378,송중동주민센터,2263608.0,655870384.0
2023,1,3110379,KT&G 북부지사,2366995.0,305409557.0
2023,1,3110380,강북문화정보도서관,2121350.0,1215673984.0
2023,1,3110381,번동주공2단지,2342222.0,142115105.0
2023,1,3110382,솔밭공원역 1번,2498585.0,358645932.0
2023,1,3110383,덕성여대시반거리,2387022.0,416189251.0
2023,1,3110387,쌍문초등학교,2174793.0,2248387831.0
2023,1,3110388,도봉우체국,2241968.0,1235298127.0
2023,1,3110389,한일병원,2192840.0,497399072.0
2023,1,3110390,방학초등학교,2286202.0,988110073.0
2023,1,3110391,샘말어린이공원,2165215.0,2912706898.0
2023,1,3110392,발바닥공원,2662086.0,52282634.0
2023,1,3110393,국민은행방학지점,2063225.0,113699520.0
2023,1,3110394,방학중학교,2095757.0,2549138260.0
2023,1,3110395,신한은행 방학동지점,2160780.0,757605677.0
2023,1,3110396,쌍문역1번(쌍리단길),2207748.0,829852156.0
2023,1,3110397,도봉산입구,2117511.0,3643686559.0
2023,1,3110398,쌍문2동우체국,2298262.0,1819690074.0
2023,1,3110399,창2동주민센터,2232393.0,3915564598.0
2023,1,3110400,도봉구보건소,2357705.0,2032310121.0
2023,1,3110401,도봉구민회관,2280002.0,330515675.0
2023,1,3110402,도봉구 정병원,2182555.0,1220928186.0
2023,1,3110403,방학1동주민센터,2236723.0,2814853314.0
2023,1,3110404,신창초등학교,2152942.0,4575473890.0
2023,1,3110405,방학역 1번,2190060.0,2624670453.0
2023,1,3110406,도봉산역 1번,2336008.0,916571273.0
2023,1,3110407,도봉역 2번,2146892.0,2841105577.0
2023,1,3110408,가인초등학교,2319058.0,688519568.0
2023,1,3110409,창동역 2번,2789181.0,1524699842.0
2023,1,3110410,방학역 2번,2399727.0,1221303420.0
2023,1,3110411,도봉역 3번,2175064.0,986521151.0
2023,1,3110412,창동중학교,2310091.0,131058178.0
2023,1,3110413,누원고등학교,2895901.0,416370943.0
2023,1,3110415,수락산역 4번,2395121.0,2421641372.0
2023,1,3110416,노원초등학교,2980894.0,1190706045.0
2023,1,3110417,월계역 3번,2286907.0,672823426.0
2023,1,3110418,광운대학교 남단,2300405.0,675653375.0
2023,1,3110419,수락산디자인거리,3391001.0,1594271352.0
2023,1,3110420,광운대역 1번,2500132.0,670076679.0
2023,1,3110421,석계역 1번,2616617.0,507125133.0
2023,1,3110422,노원역 9번,3223464.0,360285703.0
2023,1,3110423,석계역 2번,3542119.0,230638052.0
2023,1,3110424,상계초등학교,2661171.0,1409427751.0
2023,1,3110425,계상초등학교,2130055.0,2068987842.0
2023,1,3110426,상계2동주민센터,2375155.0,1683076604.0
2023,1,3110427,노원 을지대학교병원,3298315.0,257987000.0
2023,1,3110428,상계5동주민센터,2115642.0,4320297038.0
